normalized_key,level,hazard_type,area_ratio,rank_avg,rank_max,source,acquired_on
神奈川県横浜市中区初音町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区初音町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区初音町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区北仲通1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区北仲通2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区北仲通3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区北仲通4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区北仲通5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区北仲通6丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区北方町1丁目,chome,landslide_special,0.0492,0.0985,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区北方町2丁目,chome,landslide_special,0.1085,0.2171,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区千代崎町1丁目,chome,landslide_special,0.001,0.0021,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区千代崎町2丁目,chome,landslide_special,0.0025,0.0051,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区千代崎町3丁目,chome,landslide_special,0.0296,0.0592,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区千代崎町4丁目,chome,landslide_special,0.0055,0.0109,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区千歳町,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区千鳥町,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区南仲通1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区南仲通2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区南仲通3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区南仲通4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区南仲通5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区南本牧,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区吉浜町,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区吉田町,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区和田山,chome,landslide_special,0.0876,0.1752,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区塚越,chome,landslide_special,0.0005,0.0011,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区大和町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区大和町2丁目,chome,landslide_special,0.0237,0.0475,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区大平町,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区大芝台,chome,landslide_special,0.0,0.0001,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区太田町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区太田町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区太田町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区太田町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区太田町5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区太田町6丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区妙香寺台,chome,landslide_special,0.0191,0.0383,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区宮川町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区宮川町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区宮川町3丁目,chome,landslide_special,0.0076,0.0151,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区富士見町,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区寺久保,chome,landslide_special,0.0017,0.0033,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区寿町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区寿町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区寿町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区寿町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区小港町1丁目,chome,landslide_special,0.0152,0.0304,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区小港町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
