family,city_jis,city_name,segment,rate_value,sample_count,source,stat_basis,period,acquired_on
KODATE_BUY,11101,さいたま市西区,FLOOR_SQM,321111,94,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11101,さいたま市西区,LAND_SQM,238095,95,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11102,さいたま市北区,FLOOR_SQM,410526,127,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11102,さいたま市北区,LAND_SQM,400000,131,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11103,さいたま市大宮区,FLOOR_SQM,502941,90,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11103,さいたま市大宮区,LAND_SQM,505115,92,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11104,さいたま市見沼区,FLOOR_SQM,357895,111,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11104,さいたま市見沼区,LAND_SQM,296774,117,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11105,さいたま市中央区,FLOOR_SQM,492105,52,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11105,さいたま市中央区,LAND_SQM,538462,55,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11106,さいたま市桜区,FLOOR_SQM,368421,81,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11106,さいたま市桜区,LAND_SQM,336364,81,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11107,さいたま市浦和区,FLOOR_SQM,500000,114,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11107,さいたま市浦和区,LAND_SQM,528571,119,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11108,さいたま市南区,FLOOR_SQM,472000,111,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11108,さいたま市南区,LAND_SQM,530000,113,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11109,さいたま市緑区,FLOOR_SQM,427193,140,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11109,さいたま市緑区,LAND_SQM,365217,141,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11110,さいたま市岩槻区,FLOOR_SQM,254545,115,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11110,さいたま市岩槻区,LAND_SQM,166615,118,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11201,川越市,FLOOR_SQM,280000,386,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11201,川越市,LAND_SQM,216696,390,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11202,熊谷市,FLOOR_SQM,148913,170,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11202,熊谷市,LAND_SQM,100000,174,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11203,川口市,FLOOR_SQM,370000,475,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11203,川口市,LAND_SQM,368615,488,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11206,行田市,FLOOR_SQM,88889,65,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11206,行田市,LAND_SQM,56912,72,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11207,秩父市,FLOOR_SQM,102857,23,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11207,秩父市,LAND_SQM,32003,29,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11208,所沢市,FLOOR_SQM,315302,304,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11208,所沢市,LAND_SQM,266667,305,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11209,飯能市,FLOOR_SQM,160000,91,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11209,飯能市,LAND_SQM,105398,92,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11210,加須市,FLOOR_SQM,145141,140,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11210,加須市,LAND_SQM,61290,145,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11211,本庄市,FLOOR_SQM,105263,69,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11211,本庄市,LAND_SQM,51000,70,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11212,東松山市,FLOOR_SQM,155844,85,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11212,東松山市,LAND_SQM,94975,92,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11214,春日部市,FLOOR_SQM,208333,251,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11214,春日部市,LAND_SQM,167742,261,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11215,狭山市,FLOOR_SQM,227273,135,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11215,狭山市,LAND_SQM,157545,136,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11216,羽生市,FLOOR_SQM,121212,47,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11216,羽生市,LAND_SQM,40741,53,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11217,鴻巣市,FLOOR_SQM,200000,89,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11217,鴻巣市,LAND_SQM,100000,93,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11218,深谷市,FLOOR_SQM,119091,100,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11218,深谷市,LAND_SQM,54229,106,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11219,上尾市,FLOOR_SQM,330000,237,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11219,上尾市,LAND_SQM,250000,250,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11221,草加市,FLOOR_SQM,364706,207,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11221,草加市,LAND_SQM,303030,210,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11222,越谷市,FLOOR_SQM,294737,343,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11222,越谷市,LAND_SQM,247059,347,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11223,蕨市,FLOOR_SQM,471429,78,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11223,蕨市,LAND_SQM,622549,80,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11224,戸田市,FLOOR_SQM,442857,67,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11224,戸田市,LAND_SQM,454545,73,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11225,入間市,FLOOR_SQM,234314,138,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11225,入間市,LAND_SQM,176000,145,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11227,朝霞市,FLOOR_SQM,420000,78,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11227,朝霞市,LAND_SQM,460000,79,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11228,志木市,FLOOR_SQM,263889,51,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11228,志木市,LAND_SQM,263636,51,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11229,和光市,FLOOR_SQM,443275,46,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11229,和光市,LAND_SQM,422500,46,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11230,新座市,FLOOR_SQM,373214,170,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11230,新座市,LAND_SQM,342857,173,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11231,桶川市,FLOOR_SQM,258571,84,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11231,桶川市,LAND_SQM,200000,86,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11232,久喜市,FLOOR_SQM,200000,121,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11232,久喜市,LAND_SQM,114883,126,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11233,北本市,FLOOR_SQM,231283,50,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11233,北本市,LAND_SQM,171429,51,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11234,八潮市,FLOOR_SQM,326667,74,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11234,八潮市,LAND_SQM,246739,74,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11235,富士見市,FLOOR_SQM,387451,140,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11235,富士見市,LAND_SQM,321429,145,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11237,三郷市,FLOOR_SQM,270000,115,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11237,三郷市,LAND_SQM,238644,116,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11238,蓮田市,FLOOR_SQM,171429,53,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11238,蓮田市,LAND_SQM,121856,54,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11239,坂戸市,FLOOR_SQM,150000,108,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11239,坂戸市,LAND_SQM,110470,110,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11240,幸手市,FLOOR_SQM,120000,37,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11240,幸手市,LAND_SQM,59832,38,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11241,鶴ケ島市,FLOOR_SQM,175500,72,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11241,鶴ケ島市,LAND_SQM,130714,74,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11242,日高市,FLOOR_SQM,104348,67,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11242,日高市,LAND_SQM,53125,67,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11243,吉川市,FLOOR_SQM,301604,58,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11243,吉川市,LAND_SQM,166925,58,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11245,ふじみ野市,FLOOR_SQM,330000,80,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11245,ふじみ野市,LAND_SQM,302857,83,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11246,白岡市,FLOOR_SQM,104545,32,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11246,白岡市,LAND_SQM,51190,32,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11301,北足立郡伊奈町,FLOOR_SQM,196774,30,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11301,北足立郡伊奈町,LAND_SQM,136667,32,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11324,入間郡三芳町,FLOOR_SQM,227273,13,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11324,入間郡三芳町,LAND_SQM,294118,18,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11326,入間郡毛呂山町,FLOOR_SQM,73030,54,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11326,入間郡毛呂山町,LAND_SQM,44038,56,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11327,入間郡越生町,FLOOR_SQM,33758,10,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11327,入間郡越生町,LAND_SQM,11757,10,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11341,比企郡滑川町,FLOOR_SQM,220000,25,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11341,比企郡滑川町,LAND_SQM,117647,25,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11342,比企郡嵐山町,FLOOR_SQM,123195,16,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11342,比企郡嵐山町,LAND_SQM,57306,16,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11343,比企郡小川町,FLOOR_SQM,47913,36,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11343,比企郡小川町,LAND_SQM,23000,37,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11346,比企郡川島町,FLOOR_SQM,161905,19,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11346,比企郡川島町,LAND_SQM,55556,21,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11347,比企郡吉見町,FLOOR_SQM,80556,10,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11347,比企郡吉見町,LAND_SQM,32075,10,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11348,比企郡鳩山町,FLOOR_SQM,50769,15,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11348,比企郡鳩山町,LAND_SQM,20476,16,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11349,比企郡ときがわ町,FLOOR_SQM,31818,11,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11349,比企郡ときがわ町,LAND_SQM,8750,11,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11385,児玉郡上里町,FLOOR_SQM,80952,23,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11385,児玉郡上里町,LAND_SQM,29171,24,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11408,大里郡寄居町,FLOOR_SQM,44444,53,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11408,大里郡寄居町,LAND_SQM,22857,55,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11442,南埼玉郡宮代町,FLOOR_SQM,112847,26,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11442,南埼玉郡宮代町,LAND_SQM,85714,31,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11464,北葛飾郡杉戸町,FLOOR_SQM,111905,36,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11464,北葛飾郡杉戸町,LAND_SQM,62963,37,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11465,北葛飾郡松伏町,FLOOR_SQM,212267,44,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,11465,北葛飾郡松伏町,LAND_SQM,126667,45,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12101,千葉市中央区,FLOOR_SQM,284211,176,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12101,千葉市中央区,LAND_SQM,210250,176,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12102,千葉市花見川区,FLOOR_SQM,315789,138,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12102,千葉市花見川区,LAND_SQM,253919,150,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12103,千葉市稲毛区,FLOOR_SQM,323810,115,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12103,千葉市稲毛区,LAND_SQM,264000,119,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12104,千葉市若葉区,FLOOR_SQM,294118,149,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12104,千葉市若葉区,LAND_SQM,173333,151,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12105,千葉市緑区,FLOOR_SQM,226050,102,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12105,千葉市緑区,LAND_SQM,154545,106,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12106,千葉市美浜区,FLOOR_SQM,484211,49,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12106,千葉市美浜区,LAND_SQM,442105,49,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12202,銚子市,FLOOR_SQM,13125,80,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12202,銚子市,LAND_SQM,7419,84,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12203,市川市,FLOOR_SQM,461538,439,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12203,市川市,LAND_SQM,400000,449,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12204,船橋市,FLOOR_SQM,347368,505,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12204,船橋市,LAND_SQM,264706,529,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12205,館山市,FLOOR_SQM,88889,99,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12205,館山市,LAND_SQM,32154,102,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12206,木更津市,FLOOR_SQM,176471,149,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12206,木更津市,LAND_SQM,86667,155,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12207,松戸市,FLOOR_SQM,350000,375,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12207,松戸市,LAND_SQM,281481,397,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12208,野田市,FLOOR_SQM,190476,163,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12208,野田市,LAND_SQM,109821,164,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12210,茂原市,FLOOR_SQM,60400,126,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12210,茂原市,LAND_SQM,24242,127,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12211,成田市,FLOOR_SQM,204348,74,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12211,成田市,LAND_SQM,127778,75,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12212,佐倉市,FLOOR_SQM,165217,173,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12212,佐倉市,LAND_SQM,109091,177,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12213,東金市,FLOOR_SQM,68375,84,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12213,東金市,LAND_SQM,29583,86,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12215,旭市,FLOOR_SQM,46316,53,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12215,旭市,LAND_SQM,17404,56,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12216,習志野市,FLOOR_SQM,364706,123,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12216,習志野市,LAND_SQM,312000,133,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12217,柏市,FLOOR_SQM,303810,394,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12217,柏市,LAND_SQM,224000,407,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12218,勝浦市,FLOOR_SQM,89356,42,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12218,勝浦市,LAND_SQM,36019,42,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12219,市原市,FLOOR_SQM,115152,245,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12219,市原市,LAND_SQM,64762,249,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12220,流山市,FLOOR_SQM,442105,177,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12220,流山市,LAND_SQM,366819,194,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12221,八千代市,FLOOR_SQM,318182,191,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12221,八千代市,LAND_SQM,252754,212,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12222,我孫子市,FLOOR_SQM,225397,160,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
KODATE_BUY,12222,我孫子市,LAND_SQM,151538,166,mlit_library,trade_unit_price_01,2025Q2-2026Q1,2026-09-08
